position	name	type	varlab
1	locatorid	str9	Unique Locator ID Number
2	source	str22	Source - FGD or Online Survey
3	ecozonetype	float	Ecozone Type - 1 for Private; 2 for Public
4	sIq1_ecozone	str55	Q1 - Ecozone
5	sIq2_city	str11	Q2 - City/Municipality
6	sIq2_prov	str12	Q2 - Province
7	sIq2_zip	int	Q2 - ZIP Code
8	sIq3_person_num	int	Q3 - Number of Personnel
9	sIq4_person_adminsup_perc	byte	Q4 - Percentage of Admin and Support Personnel
10	sIq4_person_prodtech_perc	byte	Q4 - Percentage of Production and Technical Staff
11	sIq5_salary_person_php	long	Q5 - Monthly Salary of Personnel
12	sIq6_salary_adminsup_perc	byte	Q6 - Percentage of Admin and Support Personnel in Total Salary
13	sIq6_salary_prodtech_perc	byte	Q6 - Percentage of Production and Technical Personnel in Total Salary
14	sIq7_bookvalue_php	str19	Q7 - Book Value
15	sIq8q9_bookvalue_php_ave	float	Q8-Q9 - Book Value (Average)
16	sIIq10_domexp	str17	Q10 - Products Sold Domestically or Exported
17	sIIq11_prodsales_php	str19	Q11 - Production Sales in 2018
18	sIIq12q13_prodsales_php_ave	float	Q12-Q13 - Production Sales in 2018 (Average)
19	sIIq14_peakmo	str9	Q14 - Peak Month
20	sIIq15_peakmo_main_day	double	"Q15 - Operating Days (Peak Month, Main Production)"
21	sIIq16_peakmo_main_hr	double	"Q16 - Operating Hours (Peak Month, Main Production)"
22	sIIq17_peakmo_aux_day	double	"Q17 - Operating Days (Peak Month, Auxiliary)"
23	sIIq18_peakmo_aux_hr	double	"Q18 - Operating Hours (Peak Month, Auxiliary)"
24	sIIq19_peakmo_distdel	str3	Q19 - Distribution and Delivery Expense (Peak Month)
25	sIIq20_peakmo_distdelexp_php	float	"Q20 - Distribution and Delivery Expense in PHP (Peak, Average)"
26	sIIq21_lowmo	str9	Q21 - Low Month
27	sIIq22_lowmo_main_day	double	"Q22 - Operating Days (Low Month, Main Production)"
28	sIIq23_lowmo_main_hr	double	"Q23 - Operating Hours (Low Month, Main Production)"
29	sIIq24_lowmo_aux_day	double	"Q24 - Operating Days (Low Month, Auxiliary)"
30	sIIq25_lowmo_aux_hr	double	"Q25 - Operating Hours (Low Month, Auxiliary)"
31	sIIq26_lowmo_distdel	str3	Q26 - Distribution and Delivery Expense (Low Month)
32	sIIq27_lowmo_distdelexp_php	float	"Q27 - Distribution and Delivery Expense in PHP (Low, Average)"
33	sIIIq28_elecsour_pplant	str26	Q28 - Electricity Sources - Power Plant Inside Ecozone
34	sIIIq28_elecsour_coop	str31	Q28 - Electricity Sources - Meralco or Electric Cooperative
35	sIIIq28_elecsour_res	str33	Q28 - Electricity Sources - Retail Electricity Supplier (RES)
36	sIIIq28_elecsour_genco	str59	Q28 - Electricity Sources - Direct from Generation Company
37	sIIIq28_elecsour_selfgen	str15	Q28 - Electricity Sources - Self-generation
38	sIIIq28_elecsour_other	str36	Q28 - Electricity Sources - Others
39	sIIIq29_elecsour_pplant_perc	byte	Q29 - Percentage of Electricity Source - Power Plant Inside Ecozone
40	sIIIq29_elecsour_coop_perc	byte	Q29 - Percentage of Electricity Source - Meralco or Electric Cooperative
41	sIIIq29_elecsour_res_perc	byte	Q29 - Percentage of Electricity Source - Retail Electricity Supplier (RES)
42	sIIIq29_elecsour_genco_perc	byte	Q29 - Percentage of Electricity Source - Direct from Generation Company
43	sIIIq29_elecsour_selfgen_perc	byte	Q29 - Percentage of Electricity Source - Self-generation
44	sIIIq29_elecsour_other_perc	byte	Q29 - Percentage of Electricity Source - Others
45	sIIIq30_sourcebefres	str31	Q30 - Electricity Source Before Switching to RES
46	sIIIq31_switchres	str3	Q31 - Switched Retailer After Switching to RES
47	sIIIq32_switchres_freq	byte	Q32 - Number of Times Switched RES
48	sIIIq33_selfgen_biodie	byte	Q33 - Self-generation Fuel - Biodiesel
49	sIIIq33_selfgen_bunker	byte	Q33 - Self-generation Fuel - Bunker
50	sIIIq33_selfgen_coal	byte	Q33 - Self-generation Fuel - Coal
51	sIIIq33_selfgen_diesel	str6	Q33 - Self-generation Fuel - Diesel
52	sIIIq33_selfgen_gaso	byte	Q33 - Self-generation Fuel - Gasoline
53	sIIIq33_selfgen_kero	byte	Q33 - Self-generation Fuel - Kerosene
54	sIIIq33_selfgen_lpg	byte	Q33 - Self-generation Fuel - LPG
55	sIIIq33_selfgen_natgas	byte	Q33 - Self-generation Fuel - Natural Gas
56	sIIIq33_selfgen_prop	byte	Q33 - Self-generation Fuel - Propane
57	sIIIq33_selfgen_solar	str5	Q33 - Self-generation Fuel - Solar
58	sIIIq33_selfgen_wind	byte	Q33 - Self-generation Fuel - Wind
59	sIIIq33_selfgen_other	str1	Q33 - Self-generation Fuel - Others
60	sIIIq34_backup	str3	Q34 - With Back-up Generation
61	sIIIq35_backup__biodie	str9	Q35 - Back-up Generation Fuel - Biodiesel
62	sIIIq35_backup__bunker	byte	Q35 - Back-up Generation Fuel - Bunker
63	sIIIq35_backup__coal	byte	Q35 - Back-up Generation Fuel - Coal
64	sIIIq35_backup__diesel	str6	Q35 - Back-up Generation Fuel - Diesel
65	sIIIq35_backup__gaso	str8	Q35 - Back-up Generation Fuel - Gasoline
66	sIIIq35_backup__kero	byte	Q35 - Back-up Generation Fuel - Kerosene
67	sIIIq35_backup__lpg	byte	Q35 - Back-up Generation Fuel - LPG
68	sIIIq35_backup__natgas	byte	Q35 - Back-up Generation Fuel - Natural Gas
69	sIIIq35_backup__prop	byte	Q35 - Back-up Generation Fuel - Propane
70	sIIIq35_backup__solar	byte	Q35 - Back-up Generation Fuel - Solar
71	sIIIq35_backup__wind	byte	Q35 - Back-up Generation Fuel - Wind
72	sIIIq35_backup__other	str29	Q35 - Back-up Generation Fuel - Others
73	sIIIq36_elec_main_aircon	str16	Q36 - Process in Main Production that Use Electricity - Air Conditioning
74	sIIIq36_elec_main_airgas	str40	Q36 - Process in Main Production that Use Electricity - Air/Gas Mixing
75	sIIIq36_elec_main_baking	str6	Q36 - Process in Main Production that Use Electricity - Baking
