zone_name,latitude,longitude,area_hectares,zone_type,operational_date,developer,location_text,region,coordinate_source,data_source
AG&P Special Economic Zone,13.787972,120.987344,40.3359,manufacturing,2008,Atlantic Gulf & Pacific Co. of Manila,"Barangay San Roque, Bauan, Batangas",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Agrotex Gensan Economic Zone,6.143097632742106,125.15161150607109,11.0019,agro-industrial,NA,"Agrotex Commodities, Inc.","Barrio Tambler, General Santos City, Province of South Cotabato",NA,municipality_centroid,PEZA 3.xls (operating)
Alviera Industrial Park,14.1739,121.128166,31.1954,manufacturing,1999,"Nuevocentro, Inc.","Barangay Dolores and Banaba, Porac, Pampanga",REGION III,world_bank_ciip,PEZA 1.xls + World Bank
Amkor Technology Special Economic Zone,14.437571,121.047763,14.0804,manufacturing,2006,AAPI Realty Corporation,"Km. 22, East Service Road, South Super Highway, Brgy. Cupang, Muntinlupa City",NCR (6),world_bank_ciip,PEZA 1.xls + World Bank
ANFLO Special Economic Zone,14.37432,120.9343,52.5858,manufacturing,2002,ANFLO Industrial Estate Corporation,"Barangay San Vicente, Panabo City, Davao del Norte",REGION XI,world_bank_ciip,PEZA 1.xls + World Bank
Angeles Industrial Park,15.112433,120.60069,32,manufacturing,2000,"Angeles Industrial Park, Inc.","Calibutbut, Bacolor, Pampanga",REGION III,world_bank_ciip,PEZA 1.xls + World Bank
Asahi Special Economic Zone,14.37432,120.9343,28.0249,manufacturing,2002,AGC Philippine Ecozone Management Corporation,"Brgy. Pinagbuhatan, Pasig City",NCR (6),world_bank_ciip,PEZA 1.xls + World Bank
Aurora Pacific Economic Zone and Freeport,16.257615381079617,122.04155033793633,NA,freeport,NA,NA,"Casiguran, Aurora",Luzon,municipality_centroid,Wikipedia
Baguio City Economic Zone,16.380015,120.619283,116.2497,manufacturing,1980,Philippine Economic Zone Authority,"Loakan Rd., Baguio City",CAR,world_bank_ciip,PEZA 1.xls + World Bank
Balo-I Agro-Industrial Economic Zone,8.091842965106228,124.21553125617574,13.9012,agro-industrial,NA,"Balo-i Industrial, Inc.","Barangay Maria Cristina, Balo-i, Lanao del Norte",NA,municipality_centroid,PEZA 3.xls (operating)
Brooke’s Point Agro-Industrial Economic Zone,8.864759411167851,117.798479675959,5,agro-industrial,NA,FLG Management and Development Corporation,"Barangay Tubtub, Brooke’s Point, Palawan",NA,municipality_centroid,PEZA 3.xls (operating)
Bukidnon Agro-Resources Export Zone,8.371591062265587,124.88213241362648,46.17,agro-industrial,NA,Philippine Packing Management Services Corporation,"Barangay Agusan Canyon, Manolo Fortich, Bukidnon",NA,municipality_centroid,PEZA 3.xls (operating)
Cagayan Special Economic Zone,13.787972,120.987344,NA,freeport,2008,NA,"Santa Ana and Aparri, Cagayan",Luzon,world_bank_ciip,Wikipedia + World Bank
Calamba Premiere International Park,14.195641,121.133375,65.6349,manufacturing,1993,Starworld Corporation,"Batino, Parian  & Barandal ,Calamba City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Candelaria Agri Special Economic Zone,14.770285,121.067748,15.1859,agro-industrial,1995,STK-Prime Real Property Development Corporation,"Barangay Mangilag Sur, Candelaria, Quezon",NA,world_bank_ciip,PEZA 3.xls (operating) + World Bank
Carmelray Industrial Park,14.212183,121.090585,99,ecozone (WB only),1994,NA,NA,EAP,world_bank_ciip,World Bank CIIP
Carmelray Industrial Park I,14.1739,121.128166,80.0337,manufacturing,1999,Carmelray Industrial Corporation,"Canlubang, Calamba City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Carmelray Industrial Park II,14.1739,121.128166,143.0252,manufacturing,1999,Carmelray - JTCI Corporation,"Punta & Tulo, Calamba City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Carmelray International Business Park,14.203474,121.08944,40,manufacturing,2008,Carmelray Industrial Corporation,"Canlubang, Calamba City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Carmen Cebu Gum Industrial Zone,8.949646491343112,125.25396274891271,7.5992,agro-industrial,NA,Pacific Poly Gums Holdings Corporation,"Cogon West, Carmen, Cebu City",NA,municipality_centroid,PEZA 3.xls (operating)
Cavite Biofuels Ecozone,14.409098,120.869201,24.5699,agro-industrial,1984,Penwood Project Land Corporation,"Barangay Caluangan, Municipality of Magallanes, Province of Cavite",NA,world_bank_ciip,PEZA 3.xls (operating) + World Bank
Cavite Economic Zone,14.409098,120.869201,278.5066,manufacturing,1984,Philippine Economic Zone Authority,"Rosario, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Cavite Economic Zone II,14.416973,120.876152,53.7151,manufacturing,2010,Majestic Technical Skills Development and Landscape Corporation,"Bacao, Gen. Trias, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Cavite Technopark-Special Economic Zone,14.437571,121.047763,109.8606,manufacturing,2006,"Laguna Technopark, Inc.","Barangay Sabang, Naic, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Cebu Light Industrial Park,10.288089,123.960024,62.4888,manufacturing,1987,"Cebu Light Industrial Park, Inc.","Basak, Lapu-lapu City,  Mactan, Cebu",REGION VII,world_bank_ciip,PEZA 1.xls + World Bank
Cebu South Road Properties,10.27007,123.875589,295.6929,manufacturing,2008,City Government of Cebu,"South Reclamation Project, Cebu City",REGION VII,world_bank_ciip,PEZA 1.xls + World Bank
Central Technopark,14.273481,121.058564,300,manufacturing,1993,Luisita Industrial  Park  Corporation,"San Miguel, Tarlac",REGION III,world_bank_ciip,PEZA 1.xls + World Bank
CIIF Agro-Industrial Park,14.267516,121.002957,15.3634,manufacturing,1997,"CIIF Agro-Industrial Park, Inc.","Barangay Kiwalan, Iligan City, Lanao del Norte",REGION X,world_bank_ciip,PEZA 1.xls + World Bank
CIIF Agro-Industrial Park – Cagayan,10.11934694760951,124.27958199213467,5.4763,agro-industrial (proclaimed),NA,"CIIF Agro-Industrial Park, Inc.","Purok 3, Tablon, Cagayan de Oro City",NA,municipality_centroid,PEZA 3.xls (proclaimed)
CIIF Agro-Industrial Park – Legazpi,13.100049608371013,123.75428591471858,5.3809,agro-industrial (proclaimed),NA,"CIIF Agro-Industrial Park, Inc.","Barangay 47, Peñaranda Extension, Legaspi City, Albay",NA,municipality_centroid,PEZA 3.xls (proclaimed)
Clark Special Economic Zone,14.37432,120.9343,29365,manufacturing,2002,Clark Development Corporation,"Angeles City, Municipalities of Mabalacat and Porac, Pampanga and the Municipalities of Capas and Bamban, Tarlac",REGION III,world_bank_ciip,PEZA 1.xls + World Bank
Clark TI Special Economic Zone,14.409098,120.869201,32,manufacturing,1984,Clark Developmenr Corporation,"Clark Freeport Zone located at Angeles City and the Municipality of Mabalacat, Pampanga",REGION III,world_bank_ciip,PEZA 1.xls + World Bank
Cocochem Agro-Industrial Park,14.838646,120.462513,42,manufacturing,2006,"Cocochem Agro-Industrial Park, Inc.","San Antonio, San Pascual, Batangas",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
DADC Economic Zone,14.409098,120.869201,15,agro-industrial,1984,Darong Agricultural and Development Corp.,"Barangay Darong, Municipality of Sta. Cruz, Province of Davao del Sur",NA,world_bank_ciip,PEZA 3.xls (operating) + World Bank
Daiichi Industrial Park,14.267516,121.002957,55.02,manufacturing,1997,"Daiichi Properties and Development, Inc.","Maguyam, Silang, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Ecofuel Agro-Industrial Ecozone,16.87665401636118,122.15248503919454,24,agro-industrial,NA,"Ecofuel Land Development, Inc.","Sta. Filomena, San Mariano, Isabela",NA,municipality_centroid,PEZA 3.xls (operating)
EMI Special Economic Zone,14.37432,120.9343,12.1997,manufacturing,2002,"EMI-Jolou Realty, Inc.","Anabu II, Imus, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Filinvest Technology Park Calamba,14.185097,121.119616,51.073371,manufacturing,2002,"Filinvest Land, Inc.","Punta, Burol & Bubuyan, Calamba City,  Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
First Cavite Industrial  Estate,14.280213,120.936052,71.7723,manufacturing,1974,"First Cavite Industrial Estate, Inc.","Langkaan, Dasmariñas, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
First Industrial Township - SEZ,11.084631997231376,124.9907460700255,66.63,manufacturing,NA,"Philippine Townships, Inc.","Trapiche, Pagaspas & Baloc-Baloc, Tanauan, Batangas",REGION IV,municipality_centroid,PEZA 1.xls
First Oriental Business & Industrial Park,7.171524,125.654719,57.26,manufacturing,2004,"First Oriental Property Ventures, Inc.","Ilang, Bunawan District, Davao City",REGION XI,world_bank_ciip,PEZA 1.xls + World Bank
First Philippine Industrial Park,14.137184,121.121124,331.8502,manufacturing,1998,"First Philippine Industrial Park, Inc.","Barangays Ulango and Laurel, Tanauan City and Sta. Anastacia,  Sto. Tomas, Batangas",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
First Philippine Industrial Park II,14.130994,121.131246,91.8259,manufacturing,2012,First Philippine Industrial Park Inc.,"Barangays Sta. Anastacia and San Rafael, Sto. Tomas, Batangas",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Food Terminal Incorporated Special Economic Zone,14.503629,121.037742,24,manufacturing,1999,Food Terminal Incorporated,"East Service Road, Taguig City",NCR (6),world_bank_ciip,PEZA 1.xls + World Bank
Freeport Area of Bataan,14.467265555925808,120.51138784796582,NA,freeport,NA,NA,"Mariveles, Bataan",Luzon,municipality_centroid,Wikipedia
Gateway Business Park,14.261693,120.920307,110.0525,manufacturing,1995,"Gateway Property Holdings, Inc.","Javalera, Gen. Trias, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Gensan Economic Zone,6.060756,125.146374,46.7715,manufacturing,2014,"Damalerio Realtors, Inc.","Barangay Tambler, General Santos City",REGION XII,world_bank_ciip,PEZA 1.xls + World Bank
Golden Gate Business Park-Cavite Export Processing Zone,14.325516,121.07146,46.74915,manufacturing,2005,Just Realty Incorporated,"Brgy. Buenavista, Gen. Trias, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Golden Mile Business Park,14.325516,121.07146,45.0643,manufacturing,2005,Golden Mile Resources Development Corporation,"Governor's Drive, Maduya, Carmona, Cavite",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Greenfield Automotive Park,14.262515,121.062827,65.9479,manufacturing,1998,Balibago Land Corporation,"Don Jose, Sta. Rosa City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Hermosa Ecozone Industrial Park,14.838646,120.462513,142.0433,manufacturing,2006,Hermosa Ecozone Development Corp.,"Hermosa, Bataan",REGION III,world_bank_ciip,PEZA 1.xls + World Bank
Jasaan Misamis Oriental Ecozone,8.63357,124.762537,25.25,manufacturing,2001,Misamis Oriental Land Development Corporation,"Solana & Luz Banzon, Jasaan, Misamis Oriental",REGION X,world_bank_ciip,PEZA 1.xls + World Bank
Jose Panganiban SEZ,14.257269761974747,122.65809154866842,36.3515,manufacturing,NA,"CamNorte Ezone Realty, Inc.","Jose Panganiban, Camarines Norte",REGION V,municipality_centroid,PEZA 1.xls
Keppel Philippines Marine SEZ,13.800747145620747,120.96988925426822,22.92,manufacturing,NA,"Goodsoil Marine Realty, Inc.","Barangay San Miguel, Bauan, Batangas",REGION IV,municipality_centroid,PEZA 1.xls
Laguna International Industrial Park,14.286876,121.076924,34.8784,manufacturing,1993,"Laguna International Industrial Park, Inc.","Ganado & Mamplasan, Biñan City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Laguna Technopark Annex,14.273481,121.058564,29,manufacturing,1993,"Laguna Technopark, Inc.","Barangay Biñan City, Biñan City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Laguna Technopark SEZ,14.273481,121.058564,314.897,manufacturing,1993,"Laguna Technopark, Inc.","Biñan City and Sta. Rosa City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Leyte Industrial Development Estate,10.90359,124.441844,424.7,manufacturing,1982,National Development Corporation,"Isabel, Leyte",REGION VIII,world_bank_ciip,PEZA 1.xls + World Bank
Light Industry & Science Park I,14.234071,121.100503,71.7459,manufacturing,1992,"LISP-I Locators’ Association, Inc.","Diezmo, Cabuyao, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Light Industry & Science Park II,14.190367,121.150944,68.0148,manufacturing,1994,"LISP-II Locators’ Association, Inc.","Real & La Mesa, Calamba City, Laguna",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
Light Industry & Science Park III,14.135334,121.151835,110.484,manufacturing,1995,RFM-Science Park of the Phils. Inc.,"San Rafael & Sta. Anastacia, Sto. Tomas, Batangas",REGION IV,world_bank_ciip,PEZA 1.xls + World Bank
